"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"isabel",30,6,10.949,6.72466666666667,2.44,1.46333333333333,10.255192105731,-55.2772161094447,35.391,16.0746666666667,11.17276,5.89676,7.00036,5.73559666666667,18.17312,11.6323566666667
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"möchten",-1,-3,3.268,2.319,1.21,0.72,40.240286971946,16.1891117319345,10.414,6.2245,3.74374,2.130045,5.46073,3.029595,9.20447,5.15964
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"an",-6,-6,3.947,3.947,0.96,0.96,-34.343984718703,-34.343984718703,8.888,8.888,3.17472,3.17472,4.13376,4.13376,7.30848,7.30848
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"dem",-2,-2,1.961,1.961,0.58,0.58,-20.302473561936,-20.302473561936,5.254,5.254,1.48828,1.48828,2.1141,2.1141,3.60238,3.60238
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"stand",11,7,5.392,3.807,1.29,0.935,28.475808268459,12.803228744187,7.369,4.056,4.74204,3.15054,5.24385,3.144505,9.98589,6.295045
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"des",-2,-2.5,3.409,2.7685,0.32,0.22,37.207524737257,1.340283942816,9.629,9.282,0.8464,0.6116,1.4112,0.96438,2.2576,1.57598
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"frauenvereins",8,4.25,3.98,2.56275,1.53,0.97,34.645888503335,13.268143881756,9.197,8.03225,4.0545,2.6802,6.6555,3.9990875,10.71,6.6792875
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"ein",1,1,0.571,0.571,0.86,0.86,67.633463423941,67.633463423941,17.503,17.503,1.42072,1.42072,4.4806,4.4806,5.90132,5.90132
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"bild",-16,-16,7.656,7.656,1.3,1.3,-81.014084084315,-81.014084084315,20.966,20.966,5.3482,5.3482,7.0941,7.0941,12.4423,12.4423
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"kaufen",-2,-2,1.099,1.099,0.87,0.87,-76.274211065489,-76.274211065489,19.739,19.739,1.8009,1.8009,4.67538,4.67538,6.47628,6.47628
"1-10-08_drbieber",1,10,8,"der",0,0,0,0,0.85,0.85,25.15115691308,25.15115691308,6.509,6.509,0.85,0.85,3.32265,3.32265,4.17265,4.17265
"1-10-08_drbieber",1,10,8,"oberarzt",7,-1,6.14,3.92,2.62,1.485,45.740249828018,4.408297387068,11.837,8.3795,9.7071,4.544565,10.57432,6.216315,20.28142,10.76088
"1-10-08_drbieber",1,10,8,"und",-1,-1,0.662,0.662,0.78,0.78,-39.944199224573,-39.944199224573,10.337,10.337,1.35174,1.35174,3.51234,3.51234,4.86408,4.86408
"1-10-08_drbieber",1,10,8,"seine",1,-0.5,1.639,1.2955,1.04,0.83,-1.348221982768,-8.200806976035,3.896,2.1225,2.496,1.85715,3.42368,2.15576,5.91968,4.01291
